filename,field,crop_index,p_low,p_high,source_count
J0545.5-4756_aFix_pol_I_Farcsec_5pln_cor_crop_0140.npy,J0545.5-4756_aFix_pol_I_Farcsec_5pln_cor,140,-1.6526179024367593e-05,4.097030614502728e-05,
J0449.9-4440_aFix_pol_I_Farcsec_5pln_cor_crop_0012.npy,J0449.9-4440_aFix_pol_I_Farcsec_5pln_cor,12,-1.3652566849486902e-05,3.79539851564914e-05,
J0525.8-4715_aFix_pol_I_Farcsec_5pln_cor_crop_0105.npy,J0525.8-4715_aFix_pol_I_Farcsec_5pln_cor,105,-1.611813422641717e-05,4.044059460284189e-05,
J1410.4-4246_aFix_pol_I_Farcsec_5pln_cor_crop_0037.npy,J1410.4-4246_aFix_pol_I_Farcsec_5pln_cor,37,-2.2075269953347743e-05,4.486642137635499e-05,
J0352.4-7401_aFix_pol_I_Farcsec_5pln_cor_crop_0082.npy,J0352.4-7401_aFix_pol_I_Farcsec_5pln_cor,82,-1.3432473679131364e-05,3.414728053030558e-05,
J1358.9-4750_aFix_pol_I_Farcsec_5pln_cor_crop_0165.npy,J1358.9-4750_aFix_pol_I_Farcsec_5pln_cor,165,-2.6460520530235957e-05,4.666853419621475e-05,
PLCK_G200.9-28.2_aFix_pol_I_Farcsec_5pln_cor_crop_0007.npy,PLCK_G200.9-28.2_aFix_pol_I_Farcsec_5pln_cor,7,-2.0549477994791232e-05,4.693285882240161e-05,
J0712.0-6030_aFix_pol_I_Farcsec_5pln_cor_crop_0055.npy,J0712.0-6030_aFix_pol_I_Farcsec_5pln_cor,55,-1.3525442227546591e-05,3.74543305952102e-05,
J0027.3-5015_aFix_pol_I_Farcsec_5pln_cor_crop_0154.npy,J0027.3-5015_aFix_pol_I_Farcsec_5pln_cor,154,-1.4346433999889996e-05,3.467470014584251e-05,
J0217.2-5244_aFix_pol_I_Farcsec_5pln_cor_crop_0094.npy,J0217.2-5244_aFix_pol_I_Farcsec_5pln_cor,94,-1.7379512428306043e-05,3.482505780993961e-05,
J2222.2-5235_aFix_pol_I_Farcsec_5pln_cor_crop_0071.npy,J2222.2-5235_aFix_pol_I_Farcsec_5pln_cor,71,-2.0340692572062835e-05,4.029700721730478e-05,
Abell_209_aFix_pol_I_Farcsec_5pln_cor_crop_0051.npy,Abell_209_aFix_pol_I_Farcsec_5pln_cor,51,-2.1105859559611417e-05,4.098449426237494e-05,
J0351.1-8212_aFix_pol_I_Farcsec_5pln_cor_crop_0014.npy,J0351.1-8212_aFix_pol_I_Farcsec_5pln_cor,14,-1.34867677843431e-05,3.901409581885673e-05,
J2319.2-6750_aFix_pol_I_Farcsec_5pln_cor_crop_0186.npy,J2319.2-6750_aFix_pol_I_Farcsec_5pln_cor,186,-1.762574174790643e-05,3.985196599387564e-05,
J0217.2-5244_aFix_pol_I_Farcsec_5pln_cor_crop_0083.npy,J0217.2-5244_aFix_pol_I_Farcsec_5pln_cor,83,-1.7379512428306043e-05,3.482505780993961e-05,
Abell_S1063_nofix_pol_I_Farcsec_5pln_cor_crop_0107.npy,Abell_S1063_nofix_pol_I_Farcsec_5pln_cor,107,-1.3156100976630114e-05,3.549207394826226e-05,
J0317.9-4414_aFix_pol_I_Farcsec_5pln_cor_crop_0194.npy,J0317.9-4414_aFix_pol_I_Farcsec_5pln_cor,194,-1.825527215260081e-05,4.13110428780783e-05,
J0540.1-4322_aFix_pol_I_Farcsec_5pln_cor_crop_0194.npy,J0540.1-4322_aFix_pol_I_Farcsec_5pln_cor,194,-2.016680991800968e-05,3.639713395386934e-05,
RXCJ2351.0-19_noFix_pol_I_Farcsec_5pln_cor_crop_0042.npy,RXCJ2351.0-19_noFix_pol_I_Farcsec_5pln_cor,42,-1.7816319086705334e-05,4.150596214458346e-05,
Abell_133_aFix_pol_I_Farcsec_5pln_cor_crop_0126.npy,Abell_133_aFix_pol_I_Farcsec_5pln_cor,126,-1.6750700524426065e-05,3.861152799800038e-05,
J2104.9-8243_aFix_pol_I_Farcsec_5pln_cor_crop_0087.npy,J2104.9-8243_aFix_pol_I_Farcsec_5pln_cor,87,-1.633186730032321e-05,3.551336703822017e-05,
J0232.2-4420_aFix_pol_I_Farcsec_5pln_cor_crop_0033.npy,J0232.2-4420_aFix_pol_I_Farcsec_5pln_cor,33,-1.3283781299833208e-05,3.414206730667502e-05,
J1358.9-4750_aFix_pol_I_Farcsec_5pln_cor_crop_0117.npy,J1358.9-4750_aFix_pol_I_Farcsec_5pln_cor,117,-2.6460520530235957e-05,4.666853419621475e-05,
ElGordo_aFix_pol_I_Farcsec_5pln_cor_crop_0102.npy,ElGordo_aFix_pol_I_Farcsec_5pln_cor,102,-1.8438237020745877e-05,3.2559692044742405e-05,
J0616.8-4748_aFix_pol_I_Farcsec_5pln_cor_crop_0055.npy,J0616.8-4748_aFix_pol_I_Farcsec_5pln_cor,55,-1.6417492588516325e-05,3.9486680179834366e-05,
J0540.1-4050_aFix_pol_I_Farcsec_5pln_cor_crop_0009.npy,J0540.1-4050_aFix_pol_I_Farcsec_5pln_cor,9,-1.9781218725256625e-05,3.538576129358262e-05,
J2104.9-8243_aFix_pol_I_Farcsec_5pln_cor_crop_0032.npy,J2104.9-8243_aFix_pol_I_Farcsec_5pln_cor,32,-1.633186730032321e-05,3.551336703822017e-05,
J2104.9-8243_aFix_pol_I_Farcsec_5pln_cor_crop_0019.npy,J2104.9-8243_aFix_pol_I_Farcsec_5pln_cor,19,-1.633186730032321e-05,3.551336703822017e-05,
J0528.9-3927_B_aFix_pol_I_Farcsec_5pln_cor_crop_0065.npy,J0528.9-3927_B_aFix_pol_I_Farcsec_5pln_cor,65,-1.3992802450957242e-05,3.4315333323320374e-05,
J1358.9-4750_aFix_pol_I_Farcsec_5pln_cor_crop_0174.npy,J1358.9-4750_aFix_pol_I_Farcsec_5pln_cor,174,-2.6460520530235957e-05,4.666853419621475e-05,
J0352.4-7401_aFix_pol_I_Farcsec_5pln_cor_crop_0144.npy,J0352.4-7401_aFix_pol_I_Farcsec_5pln_cor,144,-1.3432473679131364e-05,3.414728053030558e-05,
Abell_209_aFix_pol_I_Farcsec_5pln_cor_crop_0075.npy,Abell_209_aFix_pol_I_Farcsec_5pln_cor,75,-2.1105859559611417e-05,4.098449426237494e-05,
J1145.6-5420_aFix_pol_I_Farcsec_5pln_cor_crop_0135.npy,J1145.6-5420_aFix_pol_I_Farcsec_5pln_cor,135,-1.6585625417064875e-05,3.3761494705686346e-05,
Abell_3376_aFix_pol_I_Farcsec_5pln_cor_crop_0008.npy,Abell_3376_aFix_pol_I_Farcsec_5pln_cor,8,-1.6748330381233245e-05,4.895990059594624e-05,
J0542.8-4100_aFix_pol_I_Farcsec_5pln_cor_crop_0103.npy,J0542.8-4100_aFix_pol_I_Farcsec_5pln_cor,103,-1.260944191017188e-05,3.595814996515401e-05,
J0948.6-8327_aFix_pol_I_Farcsec_5pln_cor_crop_0029.npy,J0948.6-8327_aFix_pol_I_Farcsec_5pln_cor,29,-1.3834469427820297e-05,3.5308996302774176e-05,
Abell_85_aFix_pol_I_Farcsec_5pln_cor_crop_0035.npy,Abell_85_aFix_pol_I_Farcsec_5pln_cor,35,-1.6969566786428913e-05,4.114058901905082e-05,
J0216.3-4816_aFix_pol_I_Farcsec_5pln_cor_crop_0062.npy,J0216.3-4816_aFix_pol_I_Farcsec_5pln_cor,62,-1.5618124962202273e-05,5.211478855926544e-05,
J2023.4-5535_aFix_pol_I_Farcsec_5pln_cor_crop_0193.npy,J2023.4-5535_aFix_pol_I_Farcsec_5pln_cor,193,-2.326385947526433e-05,4.042817090521567e-05,
J0757.7-5315_aFix_pol_I_Farcsec_5pln_cor_crop_0035.npy,J0757.7-5315_aFix_pol_I_Farcsec_5pln_cor,35,-1.5817182429600507e-05,3.550770634319633e-05,
J0545.5-4756_aFix_pol_I_Farcsec_5pln_cor_crop_0132.npy,J0545.5-4756_aFix_pol_I_Farcsec_5pln_cor,132,-1.6526179024367593e-05,4.097030614502728e-05,
J0812.5-5714_aFix_pol_I_Farcsec_5pln_cor_crop_0090.npy,J0812.5-5714_aFix_pol_I_Farcsec_5pln_cor,90,-1.797733420971781e-05,3.096696309512481e-05,
J0645.4-5413_aFix_pol_I_Farcsec_5pln_cor_crop_0036.npy,J0645.4-5413_aFix_pol_I_Farcsec_5pln_cor,36,-1.871160566224717e-05,4.457303657545708e-05,
J1645.4-7334_aFix_pol_I_Farcsec_5pln_cor_crop_0163.npy,J1645.4-7334_aFix_pol_I_Farcsec_5pln_cor,163,-2.7542228053789582e-05,5.101114220451564e-05,
J0616.8-4748_aFix_pol_I_Farcsec_5pln_cor_crop_0094.npy,J0616.8-4748_aFix_pol_I_Farcsec_5pln_cor,94,-1.6417492588516325e-05,3.9486680179834366e-05,
Abell_370_afix_pol_I_Farcsec_5pln_cor_crop_0106.npy,Abell_370_afix_pol_I_Farcsec_5pln_cor,106,-3.905647463398054e-05,5.590072396444157e-05,
